INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,SIGNIF_EVENTS_SUMMARY,HAZARDS_MATLS_INVOLVMENT_NARR,DAMAGE_ASSESSMENT_INFO,LIFE_SAFETY_HEALTH_STATUS_NARR,WEATHER_CONCERNS_NARR,PROJECTED_ACTIVITY_12,PROJECTED_ACTIVITY_24,PROJECTED_ACTIVITY_48,PROJECTED_ACTIVITY_72,PROJECTED_ACTIVITY_GT72,CURRENT_THREAT_12,CURRENT_THREAT_24,CURRENT_THREAT_48,CURRENT_THREAT_72,CURRENT_THREAT_GT72,CRIT_RES_NEEDS_12,CRIT_RES_NEEDS_24,CRIT_RES_NEEDS_48,CRIT_RES_NEEDS_72,CRIT_RES_NEEDS_GT72,STRATEGIC_DISCUSSION,PLANNED_ACTIONS,EST_IM_COST_TO_DATE,COMPLEXITY_LEVEL_DESCRIPTION,FUEL_MODEL_DESCRIPTION,COMMERCIAL_DAMAGED,COMMERCIAL_DESTROYED,COMMERCIAL_THREATENED_72,MFR_DAMAGED,MFR_DESTROYED,MFR_THREATENED_72,MIXED_USE_DAMAGED,MIXED_USE_DESTROYED,MIXED_USE_THREATENED_72,OUTBUILDINGS_DAMAGED,OUTBUILDINGS_DESTROYED,OUTBUILDINGS_THREATENED_72,SFR_DAMAGED,SFR_DESTROYED,SFR_THREATENED_72,AIR_ATTACK_PERSONNEL,AIR_ATTACK_QUANTITY,CAMP_CREW_PERSONNEL,CAMP_CREW_QUANTITY,CREW_TYPE_1_PERSONNEL,CREW_TYPE_1_QUANTITY,CREW_TYPE_2IA_PERSONNEL,CREW_TYPE_2IA_QUANTITY,CREW_TYPE_2_PERSONNEL,CREW_TYPE_2_QUANTITY,DOZER_PERSONNEL,DOZER_QUANTITY,ENGINE_TYPE_1_PERSONNEL,ENGINE_TYPE_1_QUANTITY,ENGINE_TYPE_2_PERSONNEL,ENGINE_TYPE_2_QUANTITY,ENGINE_TYPE_3_PERSONNEL,ENGINE_TYPE_3_QUANTITY,ENGINE_TYPE_4_PERSONNEL,ENGINE_TYPE_4_QUANTITY,ENGINE_TYPE_5_PERSONNEL,ENGINE_TYPE_5_QUANTITY,ENGINE_TYPE_6_PERSONNEL,ENGINE_TYPE_6_QUANTITY,ENGINE_TYPE_7_PERSONNEL,ENGINE_TYPE_7_QUANTITY,FIXED_WING_AIR_TACTICAL_PERSONNEL,FIXED_WING_AIR_TACTICAL_QUANTITY,HELICOPTER_TYPE_1_PERSONNEL,HELICOPTER_TYPE_1_QUANTITY,HELICOPTER_TYPE_2_PERSONNEL,HELICOPTER_TYPE_2_QUANTITY,HELICOPTER_TYPE_3_PERSONNEL,HELICOPTER_TYPE_3_QUANTITY,MASTICATOR_PERSONNEL,MASTICATOR_QUANTITY,MOBILE_COMMUNICATIONS_CENTER_PERSONNEL,MOBILE_COMMUNICATIONS_CENTER_QUANTITY,MOBILE_KITCHEN_UNIT_PERSONNEL,MOBILE_KITCHEN_UNIT_QUANTITY,OVERHEAD_PERSONNEL,OVERHEAD_QUANTITY,SKIDGINE_PERSONNEL,SKIDGINE_QUANTITY,SUPPORT_WATER_TENDER_PERSONNEL,SUPPORT_WATER_TENDER_QUANTITY,TACTICAL_WATER_TENDER_PERSONNEL,TACTICAL_WATER_TENDER_QUANTITY,TRACTOR_PLOW_TYPE_1_PERSONNEL,TRACTOR_PLOW_TYPE_1_QUANTITY,PUBLIC_EVACUATED_THIS_REP_PERIOD,PUBLIC_EVACUATED_TO_DATE,PUBLIC_SHELTER_IN_PLACE_THIS_REP_PERIOD,PUBLIC_SHELTER_IN_PLACE_TO_DATE,RESPONDER_EVACUATED_THIS_REP_PERIOD,RESPONDER_EVACUATED_TO_DATE,RESPONDER_FATALATIES_THIS_REP_PERIOD,RESPONDER_FATALATIES_TO_DATE,RESPONDER_INJURED_OR_ILL_THIS_REP_PERIOD,RESPONDER_INJURED_OR_ILL_TO_DATE,RESPONDER_SHELTER_IN_PLACE_THIS_REP_PERIOD,RESPONDER_SHELTER_IN_PLACE_TO_DATE,AREA_RESTRICTION_IN_EFFECT,EVACUATION_IN_PROGRESS,NO_LIKELY_THREAT,PLANNING_FOR_EVACUATION,PLANNING_FOR_SHELTER_IN_PLACE,POTENTIAL_FUTURE_THREAT,REPOPULATION_IN_PROGRESS,SHELTER_IN_PLACE_IN_PROGRESS,FULL_SUPPRESSION
4334461,4327598,2016-09-24 20:00:00,2016-09-25 08:00:00,126693,77,Minimal fire activity is predicted over the next operational period. Favorable weather overnight will minimize fire growth.,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
East side of Tassaajara Road from Chews Ridge to Bruce Ranch. Bruce Ranch East along Anastasia Canyon to Carmel Valley Road.  Carmel Valley Road South from Anastasia canyon to Tash Ranch.

Tassajara Road south of Ch","Conditions 0600: 
Temperatures near active fire area: 60-70
Relative Humidity near active fire area: 20-30%
Winds near active fire area: 
Valleys: downslope/valley 2-5 mph. 
Mid/Upper Slopes: NE 8-12 mph gusts 15-20 mph. 

Outlook for Today:
Temperatures ",Drought stricken fuels and rising ERCs along with BIs continue to provide the opportunity for moderate to extreme fire behavior. Warmer and dryer weather conditions will be present which will increase fire spread potential and effect control efforts with ,"Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.",,,,,,,,,,,,,,224550300,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.0,1.0,165.0,12.0,151.0,7.5,95.6,4.8,32.5,1.5,8.0,5.333333333333333,5.5,1.5,,,38.714285714285715,8.428571428571429,,,,,19.0,7.0,,,,,5.0,3.0,21.5,3.5,7.0,3.0,5.0,4.0,,,,,41.25,0.0,6.0,5.0,50.0,49.0,7.5,3.75,2.0,1.0,30.0,0.0,32.0,0.0,,,0.0,1.0,0.0,8.0,,,,Y,,,,Y,,Y,100.0
4335080,4327598,2016-08-06 20:00:00,2016-08-07 08:00:00,57500,45,Fire activity increased in the southwest portion at approximately 0100 hours and crossed containment lines due to localized 20 mph north winds. ,"Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber. Some areas of the fire have fuels that are 70-90 years old. ",An interagency team comprised of various Monterey County agencies and the incident are completing damage inspection. PG&E has reenergized lines in portions of the fire. ,"A new evacuation order was placed for Big Sur. Evacuation orders and warnings remain in place for Palo Colorado, Tassajara and Cachagua.  An Air Resource Advisor is assigned to the incident and is working with local and state air quality officials to anal",The marine layer will be at approximately 2000 feet today. Slight warming and drying trend as weak high pressure builds.  Highs 72-82 over most of the fire area but 60s coast. Smoke will inhibit some warming potential over the south side of the fire.  Rid,"Fire progression is expected to be approximately a half mile to the east and south in the area of Elephant Mountain and Luntz Ridge. 
","The fire is expected to creep to the east and south.  Minimal fire spread except in wind exposed ridges.   
","The fire is expected to continue to creep in understory moving approximately a half mile to the east and south.  
",Fire progression is expected to continue to move south and east toward Ventana Double Cone and the Coast Ridge.,Fire progression is expected to continue to move south and east toward Ventana Double Cone and the Coast Ridge.,,,,,,No critical resources are needed. ,,,,,,,86800000,Type 1 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,,,129.0,11.5,404.6666666666667,24.666666666666668,,,182.6,8.6,30.75,13.5,37.5,9.0,6.0,1.0,157.28571428571428,35.42857142857143,,,,,22.2,6.6,,,,,12.0,4.0,15.333333333333334,3.3333333333333335,9.0,4.0,,,3.6666666666666665,1.3333333333333333,8.5,2.0,83.07142857142857,0.0,,,47.5,27.5,,,,,650.0,0.0,,,,,0.0,1.0,0.0,3.0,,,,Y,,Y,,,,,100.0
4335149,4327598,2016-09-10 20:00:00,2016-09-11 08:00:00,105642,60,"Fire that ran to the ridgetop above North Fork is cooling down, possibly spotted over the ridge. Fire on the southeast head of the fire stayed north of Lost Valley Creek, ran to a ridgetop and is cooling down. The heat from the burnout operation along the","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,A new evacuation order has been issued along the Tassajara Road (Forest Rd 18S02). The new evacuation order applies to all residents along the Tassajara Road from Chews Ridge south to the end of the road at Tassajara Hot Springs. This evacuation order goe,"Instability will linger today, with temperatures just a little bit lower and humidity a touch higher compared to Saturday.  Transport winds will be different though, as an upper disturbance exits the area and allows northwesterly winds to develop aloft.  ","The southeast head of the fire has progressed to the upper reaches of the Arroyo Seco and north to the ridgeline above Willow Creek, anticipate backing into the upper reaches of the Arroyo Seco. The fire in North Fork that ran to the ridge yesterday possi",With the continuing instability any heat available will rapidly spread uphill as it finds fuel. The fire threat to the Coastal Ridge Road as firing operations are conducted continues with rapid uphill spread possible on the northerly aspect. The fire nort,,"Increased winds are forecasted Monday and Tuesday, as this lines up with slopes and fuel we may have increased fire spread.",,,,,,Multiple values are at risk to the south and east. ,,,,,,,,,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,150.0,12.0,66.33333333333333,3.3333333333333335,29.5,1.5,17.0,1.0,5.0,4.0,4.0,1.0,,,24.5,5.0,,,,,16.166666666666668,4.833333333333333,,,,,4.0,3.5,20.5,3.0,7.0,2.0,2.0,2.0,,,,,35.666666666666664,0.0,4.0,2.0,22.5,21.5,3.3333333333333335,1.6666666666666667,,,10.0,0.0,,,,,0.0,1.0,0.0,6.0,,,,Y,,Y,,Y,,,100.0
4335516,4327598,2016-09-12 20:00:00,2016-09-13 08:00:00,107050,60,"Transfer of Command will occur from AK IMT1 (Kurth) to CA IMT1 (Oplinger) effective at 0600 on 9/13. 

Active fire behavior throughout evening into nighttime hours. Yesterday's burn out actively held fire throughout the night. All indirect lines held thro","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,"An evacuation order remains in effect for all residents along the Tassajara Road south of Chews Ridge. 12 civilians were evacuated, and 30 civilians signed a waiver from Monterey County Sherriff's department in order to shelter in place. 

Evacuation orde","A cold upper low has brought us much cooler temperatures for today.  The marine layer is also thick, to about 3000 feet. Just above that layer, however, there will still be some dry air at fire level.  Winds will tend to be from the south or southwest to ","The southeast head of the fire that has progressed into the upper reaches of the Arroyo Seco will continue to put up smoke from the larger fuels in the drainages, these have potential to flare up and move the fire upslope. The heat from the burnout operat",The fire threat to the North Coastal Ridge Road as firing operations are conducted continues with rapid uphill spread possible on the northerly aspect. The fire north of the North Fork and Lost Valley drainages will continue to move around with any availa,,,,,,,,Multiple values are at risk to the south and east. ,Timing out resources will need to be replaced.,Timing out resources will need to be replaced.,,,,,,194600000,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,113.0,9.0,94.0,4.666666666666667,52.0,2.5,17.0,1.0,3.6666666666666665,2.6666666666666665,4.0,1.0,,,32.166666666666664,6.5,,,,,15.166666666666666,4.5,,,,,4.0,3.5,20.5,3.0,7.0,2.0,2.0,2.0,,,,,36.583333333333336,0.0,4.0,2.0,22.0,21.0,4.666666666666667,2.3333333333333335,,,22.0,0.0,30.0,0.0,,,0.0,1.0,0.0,6.0,,,,,,Y,,Y,,Y,100.0
4335951,4327598,2016-09-04 08:00:00,2016-09-04 20:00:00,98420,60,"Fire burning actively in several locations during the burn period today with wind and terrain alignments encouraging spread through shrub and heavier understory fuels.

M.A.P.s and Course of Action recommendations completed for new WFDSS decision.

BAER p","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

Evacuation warnings remain in effect for a small section of Monterey C","Breezy Northerly winds continued over the fire today in the wake of yesterdays frontal passage pushing the main smoke plume due south towards the San Luis Obispo county line.  Temperatures were cool with moderate humidity readings, however the strong wind","Fire will continue to burn actively in both Willow Creek and below the Coast Ridge in Pick Creek, though significant spread not anticipated overnight with lighter winds out of the N-NE.
",Anticipate updrainage/upslope spread in unburned fuels in Willow Creek and anticipate spread reaching the ridge line east of Black Cone.  Anticipate fire in Pick Creek finding opportunities for slope reversals to heavier fuels on the north aspects on Mond,"Updrainage winds, reinforced by N-NE flow during the day, will continue to discourage movement to the east in Willow Creek and SE into Higgins Creek. ",Anticipate similar fire behavior with similar conditions.,,,,,,,,,,,,,,178615091,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,100.0,8.0,91.5,4.5,32.666666666666664,1.6666666666666667,20.0,1.0,4.0,3.0,4.0,1.0,,,44.666666666666664,10.666666666666666,,,,,22.0,7.25,,,,,2.5,2.0,21.0,3.5,6.0,2.0,2.0,2.0,,,,,29.923076923076923,0.0,4.0,2.0,16.0,15.5,3.3333333333333335,1.6666666666666667,,,10.0,0.0,,,,,0.0,1.0,0.0,6.0,,,,,,Y,,Y,,,100.0
4336381,4327598,2016-09-03 08:00:00,2016-09-03 20:00:00,95716,60,"M.A.P.s and Course of Action recommendations completed for new WFDSS decision.

BAER personnel completed field assessments and are now doing modeling and analysis on erosion, flooding, and debris flow.

Branch I/II/IX
Fire behavior was minimal. Branch was","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

Evacuation warnings remain in effect for a small section of Monterey C",A dry cold front has pushed over the fire area this afternoon with unstable air aloft. The combination of strong and gusty northwest winds over the ridges along with instability aloft has led to an increase in fire behavior today.  Temperatures are much c,"Significant NW winds through the night are expected to align with drainages and active fire to keep fire moving in the next 12 hours.  Containment line in Branch VII and VIII are threatened, though high ridges and east/north aspects beyond should be shelt","With decreasing NW winds, fire will return to generally upslope and cross slope spread.  Alignments in Branch VII and VIII will support active spread with new perimeter to feed it.  look for upslope runs on North aspects as well. ",Lighter N to NE winds will push new perimeter toward control lines in Branches VII and VIII.,,"Fire will continue to move south, being mostly terrain and fuel driven except at the tops of ridges.",,,,,,,,,,,,,,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,110.0,9.0,91.5,4.5,39.333333333333336,2.0,20.0,1.0,4.0,3.0,4.0,1.0,,,42.666666666666664,10.0,,,,,29.0,9.333333333333334,,,,,2.5,2.0,21.0,3.5,6.0,2.0,2.0,2.0,,,,,32.333333333333336,0.0,4.0,2.0,15.0,14.5,4.333333333333333,2.3333333333333335,,,10.0,0.0,,,,,0.0,1.0,1.0,6.0,,,,,,Y,,Y,,,100.0
4336966,4327598,2016-09-30 20:30:00,2016-10-01 08:00:00,132069,92,,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality Today: 
Southwest winds early will bring minor morning impacts to communities in the Carmel Valley a","Expected conditions 0600:
Temperatures near active fire area: in the 40s
Relative Humidity near active fire area: around 50-80% except 17-21% on ridges.
Winds near active fire area: Ridge Wind NW to NE 15 to 25 mph with gusts to 30 mph.

Outlook for Today","Similar to last shift, expect to get smokes from isolated heat within the fire perimeter. Surface fuels remain extremely dry due to drought conditions. Areas that appeared to be dormant for several weeks, are now starting to show themselves. The potential",Fire activity and spread has the potential be influenced by the predicted weather events due to high wind.,Fire activity and spread has the potential be influenced by the predicted weather events due to high wind. ,Fire activity and spread has the potential be influenced by the predicted weather events due to high wind. , ,,,,,,"(4)SEC1,(2)Type 6 Engines,(7)TFLD,(7)HEQB,(3)FEMT, and (3)FEMP
Timing out resources will need to be replaced and maintained to support incident needs and objectives. ",,,,  ,,,238900000,Type 2 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,150.0,1.0,1.0,83.0,6.0,74.66666666666667,3.3333333333333335,59.0,3.0,23.0,1.0,9.0,5.0,4.0,1.0,3.0,1.0,32.0,6.666666666666667,5.5,1.0,,,5.0,1.75,,,,,5.0,5.0,9.0,3.0,6.0,2.0,5.0,4.0,,,,,35.8,0.0,3.0,2.0,30.0,29.0,2.5,1.5,2.0,1.0,,,,,,,0.0,1.0,0.0,9.0,,,,,,,,,,,100.0
4337609,4327598,2016-09-30 20:00:00,2016-10-31 08:00:00,132069,92,,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality Today: 
Southwest winds early will bring minor morning impacts to communities in the Carmel Valley a","Conditions 1500 Today: 
Temperatures near active fire area: 72 (Chews Ridge) - 78 (Tassajara) degrees. 
Relative Humidity near active fire area: 18-29%
Winds near active fire area: 
Valleys: Upvalley/upslope 5-8  mph gusts to 15 mph. 
Mid/Upper Slopes: SW","Similar to last shift, expect to get smokes from isolated heat within the fire perimeter. Surface fuels remain extremely dry due to drought conditions. Areas that appeared to be dormant for several weeks, are now starting to show themselves. The potential",Fire activity and spread has the potential be influenced by the predicted weather events due to high wind.,Fire activity and spread has the potential be influenced by the predicted weather events due to high wind. ,Fire activity and spread has the potential be influenced by the predicted weather events due to high wind. , ,,,,,,"(4) SEC1, (2) Type 6 Engines, (7) TFLD, and (7) HEQB
Timing out resources will need to be replaced and maintained to support incident needs and objectives. ",, ,  ,  ,,,,Type 2 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,1.0,1.0,83.0,6.0,74.33333333333333,3.6666666666666665,72.66666666666667,3.6666666666666665,45.0,2.0,9.0,5.0,4.0,1.0,3.0,1.0,25.333333333333332,5.333333333333333,5.5,1.0,,,6.8,2.6,,,,,5.0,5.0,9.0,3.0,6.0,2.0,5.0,4.0,,,,,33.72727272727273,0.0,3.0,2.0,30.0,29.0,3.0,1.6666666666666667,2.0,1.0,,,,,,,0.0,1.0,0.0,9.0,,,,,,,,,,,100.0
4337019,4327598,2016-10-01 08:00:00,2016-10-01 20:00:00,132082,92,Minimal fire growth occurred today. Interior heavy fuels and unburnt islands continued to consume. ,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality Today: 
There's enough smoke to cause brief periods of moderate air quality in the morning and night","Forecast: Conditions 1500 Today- Temperatures in the upper 70s valleys, 60s slopes and upper 50s higher ridges. Min RHs mid teens to lower 20s.  Winds NW to NE 10 to 15 mph with gusts to 20 mph.

Outlook for Tonight:  Lows in 40s. Max RHs 70 to 80% valley","High winds may influence fire activity where in alignment with terrain but should be short lived due to increasing humidity and fuel moisture. Minimal fire growth is expected.
",Fire behavior is expected to continue to moderate as containment continues to be successful and interior fuels burn down. , No significant fire growth is expected.,No significant fire growth is expected., ,"Power infrastructure, residences and commerce and tourism continue to be at risk. 
Watersheds, habitat for the endangered California Condor, Marbled Murrelet, California Tiger Salamander and the Red Legged Frog are threatened. 
Cultural and heritage resou",,,,,,,,,  ,,,,Type 2 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,1.0,1.0,83.0,6.0,81.66666666666667,4.0,59.0,3.0,23.0,1.0,9.0,5.0,4.0,1.0,3.0,1.0,36.0,7.5,5.5,1.0,,,4.5,1.5,,,,,50.0,5.0,43.5,3.0,15.0,2.0,5.0,4.0,,,,,32.0,0.0,3.0,2.0,28.0,27.0,3.5,2.0,2.0,1.0,,,,,,,0.0,1.0,0.0,9.0,,,,,,,,,,,100.0
4334532,4327598,2016-09-26 20:00:00,2016-09-27 08:00:00,128380,81,Minimal fire activity overnight. Fire will creep and smoldered where pockets of heat exist.  ,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality Today: 
Winds near the most active part of the fire should become lighter and more
northerly, result","Hot & dry weather continues with daytime high temperatures well into the 90s and relative humidity falling into the single digits and lower teens this afternoon. 

Cooler temperatures with some humidity recovery expected Tue night and Wed as marine layer ",Drought stricken fuels and rising ERCs along with BIs continue to provide the opportunity for moderate to extreme fire behavior. Warmer and dryer weather conditions will be present which will increase fire spread potential and effect control efforts.,"Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.",,,,,,,,,,,,,,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.0,1.0,152.0,11.0,88.0,4.333333333333333,91.0,4.6,45.0,2.0,5.333333333333333,3.6666666666666665,5.5,1.5,,,43.714285714285715,9.714285714285714,6.0,1.0,5.0,2.0,16.8,7.2,,,,,5.0,3.0,15.333333333333334,2.6666666666666665,7.0,3.0,5.0,4.0,,,,,45.333333333333336,0.0,3.0,2.0,44.0,43.0,7.5,3.75,2.0,1.0,22.0,0.0,30.0,0.0,,,0.0,1.0,0.0,8.0,,,,Y,,,,Y,,Y,100.0
